ctdprs	ctdprs_flag	ctdtmp	ctdtmp_flag	ctdsal	ctdsal_flag	salnty	salnty_flag	theta	theta_flag	ctdoxy	ctdoxy_flag	oxygen	oxygen_flag	lon	lat	cfc11	cfc11_flag	cfc12	cfc12_flag	cfc113	cfc113_flag	ccl4	ccl4_flag	nitrat	nitrat_flag	phspht	phspht_flag	silcat	silcat_flag	helium	heliumer	delhe3	neon	neoner	tritium	sigtritium	helium_flag	heliumer_flag	delhe3_flag	neon_flag	neoner_flag	tritium_flag	sigtritium_flag	tcarbn	alkali	ph	phtemp	
  4025.2     2.0     1.4     2.0    34.7     2.0    34.7     2.0     1.1     2.0   198.1     2.0   191.6     2.0    83.2   -31.2     0.0     6.0     0.0     6.0     0.0     6.0     NaN     9.0    32.2     2.0     2.2     2.0   121.6     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  3923.0     2.0     1.4     2.0    34.7     2.0    34.7     2.0     1.1     2.0   197.8     2.0   195.8     2.0    83.2   -31.2     0.0     2.0     0.0     2.0    -0.0     2.0     NaN     9.0    32.4     2.0     2.2     2.0   120.3     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  3516.3     2.0     1.4     2.0    34.7     2.0    34.7     2.0     1.1     2.0   198.5     2.0   199.0     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    32.3     2.0     2.2     2.0   116.4     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  3113.0     2.0     1.5     2.0    34.7     2.0    34.7     2.0     1.2     2.0   196.4     2.0   197.3     2.0    83.2   -31.2     0.0     2.0     0.0     2.0    -0.0     2.0     NaN     9.0    32.0     2.0     2.2     2.0   113.3     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  2708.5     2.0     1.8     2.0    34.7     2.0    34.7     2.0     1.6     2.0   192.8     2.0   194.0     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    31.4     2.0     2.1     2.0   103.2     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  2304.3     2.0     2.1     2.0    34.7     2.0    34.8     2.0     1.9     2.0   184.7     2.0   189.2     2.0    83.2   -31.2     0.4     4.0     0.2     4.0     0.0     4.0     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     NaN     NaN
  2104.2     2.0     2.4     2.0    34.7     2.0    34.7     2.0     2.2     2.0   170.9     2.0   171.3     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    33.0     2.0     2.3     2.0    97.5     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  1902.5     2.0     2.6     2.0    34.7     2.0    34.7     2.0     2.4     2.0   165.2     2.0   164.9     2.0    83.2   -31.2     0.0     2.0     0.0     2.0    -0.0     2.0     NaN     9.0    33.5     2.0     2.3     2.0    93.9     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  1699.4     2.0     2.8     2.0    34.6     2.0    34.6     2.0     2.7     2.0   158.8     2.0   158.0     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    34.4     2.0     2.4     2.0    89.3     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
  1498.5     2.0     3.1     2.0    34.6     2.0    34.6     2.0     3.0     2.0   156.9     2.0   155.3     2.0    83.2   -31.2     0.1     2.0     0.0     2.0    -0.0     2.0     NaN     9.0    34.9     2.0     2.4     2.0    82.3     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.6    25.0
